Year,Units,Series,Territorio,Value
2014,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2012,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2020,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2021,Licencias,Número de licencias de Etiqueta Ecológica Europea,España,289.0
2017,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2018,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2013,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2021,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2019,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2020,Licencias,Número de licencias de Etiqueta Ecológica Europea,España,183.0
2016,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2015,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2010,Licencias,Número de licencias de Etiqueta Ecológica Europea,Aragón,
2012,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,18.0
2020,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,14.0
2018,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,14.0
2021,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,España,973.0
2019,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,14.0
2020,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,España,809.0
2016,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,16.0
2014,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,14.0
2015,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,16.0
2013,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,19.0
2017,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,16.0
2010,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,16.0
2011,Organizaciones,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental,Aragón,17.0
